cid,db,identifier
439281,ChEBI,CHEBI:63153
439281,InChIKey,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
70914,KEGG,C00624
70914,ChEBI,CHEBI:17533
70914,InChIKey,RFMMMVDNIPUKGG-YFKPBYRVSA-N
936,KEGG,C00153
936,KEGG,D00036
936,ChEBI,CHEBI:17154
936,BioCyc,NIACINAMIDE
936,InChIKey,DFPAKSUCGFBDDF-UHFFFAOYSA-N
8158,KEGG,C01601
8158,ChEBI,CHEBI:29019
8158,InChIKey,FBUKVWPVBMHYJY-UHFFFAOYSA-N
1015,KEGG,C00346
1015,ChEBI,CHEBI:17553
1015,InChIKey,SUHOOTKUPISOBE-UHFFFAOYSA-N
439406,KEGG,C01118
439406,ChEBI,CHEBI:16160
439406,InChIKey,GNISQJGXJIDKDJ-YFKPBYRVSA-N
445638,KEGG,C08362
445638,ChEBI,CHEBI:28716
445638,InChIKey,SECPZKHBENQXJG-FPLPWBNLSA-N
1005,KEGG,C00074
1005,InChIKey,DTBNBXWJWCWCIK-UHFFFAOYSA-N
1045,KEGG,C00134
1045,KEGG,C02896
1045,ChEBI,CHEBI:17148
1045,InChIKey,KIDHWZJUCRJVML-UHFFFAOYSA-N
644102,ChEBI,CHEBI:18361
644102,InChIKey,XPPKVPWEQAFLFU-UHFFFAOYSA-J
6508,InChIKey,AAWZDTNXLSGCEK-LNVDRNJUSA-N
8742,KEGG,C00493
8742,ChEBI,CHEBI:16119
8742,InChIKey,JXOHGGNKMLTUBP-HSUXUTPPSA-N
1102,KEGG,C00315
1102,ChEBI,CHEBI:16610
1102,InChIKey,ATHGHQPFGPMSJY-UHFFFAOYSA-N
1135,KEGG,C00178
1135,ChEBI,CHEBI:17821
1135,BioCyc,THYMINE
1135,InChIKey,RWQNBRDOKXIBIV-UHFFFAOYSA-N
5081328,KEGG,D08601
5081328,ChEBI,CHEBI:64564
5081328,BioCyc,CPD0-1571
5081328,InChIKey,DZLNHFMRPBPULJ-UHFFFAOYSA-N
7427,KEGG,C01083
7427,ChEBI,CHEBI:16551
7427,BioCyc,TREHALOSE
7427,InChIKey,HDTRYLNUVZCQOY-LIZSDCNHSA-N
6030,KEGG,C00105
6030,ChEBI,CHEBI:16695
6030,InChIKey,DJJCXFVJDGTHFX-XVFCMESISA-N
1188,KEGG,C00385
1188,ChEBI,CHEBI:17712
1188,ChEBI,CHEBI:48517
1188,BioCyc,XANTHINE
1188,InChIKey,LRFVTYWOQMYALW-UHFFFAOYSA-N
428,KEGG,C00986
428,ChEBI,CHEBI:15725
428,InChIKey,XFNJVJPLKCPIBV-UHFFFAOYSA-N
57455226,BioCyc,CPD-15679
57455226,InChIKey,GDTXICBNEOEPAZ-BQYQJAHWSA-M
23368901,InChIKey,USHRADXTTYICIJ-UHFFFAOYSA-N
43,KEGG,C02630
43,ChEBI,CHEBI:17084
43,InChIKey,HWXBTNAVRSUOJR-UHFFFAOYSA-N
8871,KEGG,C02502
8871,ChEBI,CHEBI:16540
8871,BioCyc,2-HYDROXYPYRIDINE
8871,InChIKey,UBQKCCHYAOITMY-UHFFFAOYSA-N
70,KEGG,C00233
70,InChIKey,BKAJNAXTPSGJCU-UHFFFAOYSA-N
25201103,KEGG,C05145
25201103,ChEBI,CHEBI:27389
25201103,InChIKey,QCHPKSFMDHPSNR-UHFFFAOYSA-N
441,ChEBI,CHEBI:20067
441,InChIKey,WHBMMWSBFZVSSR-UHFFFAOYSA-N
26612,InChIKey,FYSSBMZUBSBFJL-UHFFFAOYSA-N
26613,ChEBI,CHEBI:37098
26613,InChIKey,NDPLAKGOSZHTPH-UHFFFAOYSA-N
7971,BioCyc,CPD-12318
7971,InChIKey,GRFNBEZIAWKNCO-UHFFFAOYSA-N
724,KEGG,C00597
724,ChEBI,CHEBI:17050
724,InChIKey,OSJPPGNTCRNQQC-UHFFFAOYSA-N
111,KEGG,C02642
111,ChEBI,CHEBI:18261
111,InChIKey,JSJWCHRYRHKBBW-UHFFFAOYSA-N
119,KEGG,C00334
119,KEGG,D00058
119,ChEBI,CHEBI:16865
119,ChEBI,CHEBI:59888
119,BioCyc,4-AMINO-BUTYRATE
119,InChIKey,BTCSSZJGUNDROE-UHFFFAOYSA-N
91493,KEGG,C00345
91493,InChIKey,BIRSGZKFKXLSJQ-SQOUGZDYSA-N
61743,ChEBI,CHEBI:32381
61743,InChIKey,KHAVLLBUVKBTBG-UHFFFAOYSA-N
190,KEGG,C00147
190,KEGG,D00034
190,ChEBI,CHEBI:16708
190,BioCyc,ADENINE
190,BioCyc,ADENINE-RING
190,InChIKey,GFFGJBXGBJISGV-UHFFFAOYSA-N
6083,KEGG,C00020
6083,KEGG,D02769
6083,ChEBI,CHEBI:16027
6083,InChIKey,UDMBCSSLTHHNCD-KQYNXXCUSA-N
100714,KEGG,C00872
100714,ChEBI,CHEBI:17475
100714,InChIKey,JINBYESILADKFW-UHFFFAOYSA-N
94154,KEGG,C01904
94154,ChEBI,CHEBI:18333
94154,BioCyc,CPD-355
94154,InChIKey,HEBKCHPVOIAQTA-QWWZWVQMSA-N
92043261,InChIKey,GHRQXJHBXKYCLZ-UHFFFAOYSA-L
102018,InChIKey,IBPDKUYWDGDBQW-UHFFFAOYSA-N
2969,KEGG,C01571
2969,ChEBI,CHEBI:30813
2969,InChIKey,GHVNFZFCNZKVNT-UHFFFAOYSA-N
289,KEGG,C00090
289,KEGG,C01785
289,KEGG,C15571
289,ChEBI,CHEBI:18135
289,BioCyc,CATECHOL
289,InChIKey,YCIMNLLNPGFGHC-UHFFFAOYSA-N
19782904,KEGG,C00158
19782904,KEGG,D00037
19782904,ChEBI,CHEBI:30769
19782904,InChIKey,KRKNYBCHXYNGOX-UHFFFAOYSA-N
21363,ChEBI,CHEBI:37277
21363,InChIKey,LJOODBDWMQKMFB-UHFFFAOYSA-N
