Sample #,Sample Name,muconic acid (mM),2-ketogluconaic acid (gmM),Gluconic acid (mM),Fructose (mM),Glucose (mM),Strain,Media,Sample,c_mol_balance,Gluconic acid (mM)_diff,Fructose (mM)_diff,Glucose (mM)_diff,sugar_usage,muconate_yield,OD of collection,growth_rate,delta_cdw,gluconate_uptake,fructose_uptake,glucose_uptake,2-ketogluconate_production,muconate_production
43,GB062.fg.1,2.018235457002249,0.0,0.0,11.117375869592292,16.92779916411079,GB062,fg,1,6.257108313419177,0.0,5.4667863970425135,3.144929949545954,8.611716346588468,0.23435925845395192,0.7017,0.07493599139500583,0.32491800000000004,0.0,1.2608075219197232,0.7253166757060912,0.0,0.4654665941530361
44,GB062.fg.2,1.865785009085875,0.0,0.0,11.629661558678098,16.90631972145378,GB062,fg,2,5.944160922892818,0.0,4.954500707956708,3.166409392202965,8.120910100159673,0.2297507281910669,0.6964,0.07301557644491884,0.32205600000000006,0.0,1.1232696338159123,0.7178789000431742,0.0,0.42300521636204036
45,GB062.fg.3,1.8781212633253563,0.0,0.0,11.435711413159828,16.532812582260494,GB062,fg,3,6.497225910991647,0.0,5.148450853474978,3.5399165313962513,8.68836738487123,0.21616503770267215,0.7245,0.07450382151138622,0.33723000000000003,0.0,1.13744110383846,0.7820695353923189,0.0,0.4149310897000016
46,GB062.glc.1,3.7131269446178146,19.078319944404008,0.0,0.0,0.0,GB062,glc,1,3.858511396895956,27.268812776687415,0.0,0.0,27.268812776687415,0.1361675323024049,0.683,0.09372315480891213,0.31482000000000004,8.118033038957867,0.0,0.0,5.679691041367551,1.1054125260642853
47,GB062.glc.2,2.845030946053594,22.533920255054927,0.0,0.0,0.0,GB062,glc,2,1.4156897512366307,27.268812776687415,0.0,0.0,27.268812776687415,0.10433277639743307,0.7064,0.09536641284398335,0.327456,7.941613093138803,0.0,0.0,6.562650072183642,0.8285705430813776
48,GB062.glc.3,3.090622888096379,20.925123917983544,0.0,0.0,0.0,GB062,glc,3,2.7379621559247624,27.268812776687415,0.0,0.0,27.268812776687415,0.11333910696466427,0.7192,0.09262766653377084,0.334368,7.554091589658196,0.0,0.0,5.796743110742691,0.8561739947011411
49,GB062.gg.1,2.3056242761123102,9.567707925960871,0.0,0.0,16.706577353971706,GB062,gg,1,4.088393463520616,13.288954045194412,0.0,3.0570423330847696,16.34599637827918,0.1410513145087968,0.7117,0.10239094509809431,0.33031800000000006,4.119268595876092,0.0,0.9476124634123261,2.965768311026529,0.7146902338723562
50,GB062.gg.2,2.187444038456913,10.052621776183717,0.0,0.0,17.43711600427127,GB062,gg,2,3.0108179069295016,13.288954045194412,0.0,2.326503682785205,15.615457727979617,0.14008196727640415,0.6932,0.10101678815509062,0.32032800000000006,4.190727802708905,0.0,0.7336727656213355,3.1701367484828085,0.6898197192687427
51,GB062.gg.3,2.4655137075961266,9.290037030497459,0.0,0.0,16.817611674356932,GB062,gg,3,4.068492368534349,13.288954045194412,0.0,2.9460080126995436,16.234962057893956,0.1518644576318745,0.7479,0.09446474616007185,0.34986600000000007,3.5880527705240004,0.0,0.7954299620574735,2.5083345906821752,0.6656952277221726
52,GB062.gfg.1,2.0245501825401457,8.108584851649951,0.0,5.756441564965031,12.891283482791321,GB062,gfg,1,1.8606085408601878,8.25840774061,4.072760864863642,-0.6812102583301929,12.331168605473643,0.16418153439581346,0.7166,0.09490831898230179,0.33296400000000004,2.3539830015609016,1.16090294236348,0.0,2.311277368110227,0.5770793674997821
53,GB062.gfg.2,2.1001128158176314,7.809983130203667,0.0,6.908100042820375,12.589883870320515,GB062,gfg,2,0.9193953789607257,8.25840774061,2.9211023870082977,-0.3798106458593864,11.179510127618297,0.18785374241304464,0.7067,0.08690826940927632,0.327618,2.1907341013393244,0.7748901257629229,0.0,2.0717790779555565,0.5571036096519502
54,GB062.gfg.3,2.2560617672050354,7.7199753892686065,0.0,6.305774961284098,12.165927354724971,GB062,gfg,3,1.473933627882916,8.25840774061,3.5234274685445746,0.044145869736157195,11.825981078890731,0.1907716368016253,0.7288,0.08827685155367365,0.339552,2.147023826063573,0.9160219453893529,0.011477059152667524,2.0070419889633357,0.5865317527785952
55,GB045.f.1,3.3414558803308454,0.0,0.0,20.417990835268427,0.0,GB045,f,1,5.311411684037724,0.0,9.209776877757044,0.0,9.209776877757044,0.3628161599007843,0.8324,0.024127779899025252,0.39549600000000007,0.0,0.5618551626960928,0.0,0.0,0.20385013254982676
56,GB045.f.2,3.016678430141187,0.0,0.0,20.548718536979713,0.0,GB045,f,2,5.559591007547706,0.0,9.079049176045757,0.0,9.079049176045757,0.33226810116861333,0.7633,0.023141078820634556,0.358182,0.0,0.5865704937693466,0.0,0.0,0.19489866416627669
57,GB045.f.3,2.560486505926653,0.0,0.0,23.34491724031908,0.0,GB045,f,3,3.2956162157919606,0.0,6.282850472706389,0.0,6.282850472706389,0.4075358019500506,0.6378,0.02109591903208318,0.29041200000000006,0.0,0.4563947249524796,0.0,0.0,0.18599719023928157
58,GB045.glu.1,1.8408677416069839,0.0,0.0,0.0,33.50324157333208,GB045,glu,1,8.37112916336252,0.0,0.0,10.518808195237334,10.518808195237334,0.17500725438082282,0.7395,0.1202406307790122,0.3453300000000001,0.0,0.0,3.66254924981548,0.0,0.6409726882447495
59,GB045.glu.2,1.8710302086107864,0.0,0.0,0.0,32.164713052782105,GB045,glu,2,9.674468139074728,0.0,0.0,11.857336715787312,11.857336715787312,0.1577951485614493,0.7397,0.12025688176717132,0.345438,0.0,0.0,4.127879212779063,0.0,0.6513593136241909
60,GB045.glu.3,1.9338038050506887,0.0,0.0,0.0,32.31107665972344,GB045,glu,3,9.454868669620172,0.0,0.0,11.710973108845977,11.710973108845977,0.16512750794295433,0.755,0.11631458937059456,0.3537,0.0,0.0,3.851164908921388,0.0,0.6359332640875435
61,GB045.fg.1,1.1815626853733359,0.0,0.0,15.254443009589167,22.073538080234066,GB045,fg,1,-0.048770542556586305,0.0,1.3297192570456389,-2.0008089665773205,1.3297192570456389,0.8885805624854405,0.7153,0.05621519568932134,0.33226200000000006,0.0,0.22497435230835772,0.0,0.0,0.1999078365189582
62,GB045.fg.2,1.1722342570784674,0.0,0.0,14.91436782604747,21.338324599926334,GB045,fg,2,0.3021878073291231,0.0,1.669794440587335,-1.2655954862695893,1.669794440587335,0.7020230925347581,0.7041,0.05576429158677132,0.326214,0.0,0.28544116461856894,0.0,0.0,0.20038628912225076
63,GB045.fg.3,1.2161072590244848,0.0,0.0,13.064319213125584,19.708132988397367,GB045,fg,3,2.4656473765733677,0.0,3.5198430535092218,0.36459612525937857,3.8844391787686003,0.31307151510350095,0.6479,0.053387605070509145,0.2958660000000001,0.0,0.6351388495160825,0.06578962755296514,0.0,0.2194407402951963
64,GB045.glc.1,1.3660648502174202,20.873285554388456,4.5488533554215635,0.0,0.0,GB045,glc,1,0.2529315416237381,22.71995942126585,0.0,0.0,22.71995942126585,0.06012620114711936,0.7051,0.15024380390283873,0.326754,10.446798288526292,0.0,0.0,9.597684562825537,0.6281262952393141
65,GB045.glc.2,1.3669736450011183,20.836328620402778,3.668832959692556,0.0,0.0,GB045,glc,2,1.1688486107574434,23.59997981699486,0.0,0.0,23.59997981699486,0.05792266161247862,0.7155,0.15137010869295495,0.33237000000000005,10.748056413184266,0.0,0.0,9.489416397486224,0.6225560346127029
66,GB045.glc.3,1.2789678050675584,20.571114878335322,4.497192025707504,0.0,0.0,GB045,glc,3,0.7083767667324388,22.771620750979913,0.0,0.0,22.771620750979913,0.0561649879494204,0.7012,0.1469904126082255,0.32464800000000005,10.310274296914095,0.0,0.0,9.31395438683656,0.5790764316413991
67,GB045.gg.1,1.0971548134883826,12.076227585199836,0.0,0.0,18.217818519936603,GB045,gg,1,1.4785136780446688,13.288954045194412,0.0,1.5458011671198726,14.834755212314285,0.0739584036127295,0.708,0.163106158975469,0.32832,6.601822158604963,0.0,0.767938873381821,5.999351536109737,0.5450557609330445
68,GB045.gg.2,1.1111219797625094,12.367966120246834,0.0,0.0,18.767589272325967,GB045,gg,2,0.6207093632884924,13.288954045194412,0.0,0.9960304147305088,14.284984459924921,0.07778251232121741,0.712,0.1635756437853237,0.33048,6.577551480199278,0.0,0.4929990205740315,6.121695777155797,0.5499651814441898
69,GB045.gg.3,1.0740808527550825,12.082587723601163,0.0,0.0,17.92314639532798,GB045,gg,3,1.793745285107482,13.288954045194412,0.0,1.8404732917284967,15.129427336922909,0.07099282932763891,0.7283,0.16546190543631484,0.33928200000000003,6.480790780452518,0.0,0.8975666783208175,5.892466996034196,0.523810471789007
70,GB045.gfg.1,1.453907810589296,7.67307837336217,0.0,7.7120479986501955,13.839541697669,GB045,gfg,1,1.0062580194054611,8.25840774061,2.117154431178477,-1.6294684732078721,10.375562171788477,0.14012809971323992,0.7325,0.08240061056455893,0.3415500000000001,1.9923813207944472,0.5107738772904932,0.0,1.8511677437410492,0.3507623811949614
71,GB045.gfg.2,1.3815746995601683,7.427767993951669,0.0,7.30444425453371,12.696729423392638,GB045,gfg,2,1.7435607724664308,8.25840774061,2.524758175294963,-0.48665619893150946,10.783165915904963,0.128123290537742,0.7066,0.0825576148005807,0.327564,2.0814083510868544,0.6363275967463412,0.0,1.872058006596402,0.34820527244909816
72,GB045.gfg.3,1.4236229924958472,6.933282800874529,0.0,6.933024634277583,12.048724824171462,GB045,gfg,3,2.7217576443310723,8.25840774061,2.8961777955510897,0.16134840028966657,11.315933936450756,0.12580693741151044,0.7122,0.081237630756252,0.33058800000000005,2.0293945293424094,0.711697406921713,0.03964923640859279,1.7037625930345854,0.34983653066804643
73,GB032.f.1,5.057358752184675,0.0,0.0,13.871994021280338,0.0,GB032,f,1,9.855521814196344,0.0,15.755773691745132,0.0,15.755773691745132,0.3209844753504145,0.9278,0.033002163056734105,0.447012,0.0,1.163222939115671,0.0,0.0,0.3733765048276108
74,GB032.f.2,5.078146686885519,0.0,0.0,13.848624572939014,0.0,GB032,f,2,9.85463867205335,0.0,15.779143140086456,0.0,15.779143140086456,0.32182651756194763,0.8956,0.03247886961091123,0.429624,0.0,1.1928773360398217,0.0,0.0,0.38389955893626904
75,GB032.f.3,5.759055412419893,0.0,0.0,11.37942931058376,0.0,GB032,f,3,11.52944042128517,0.0,18.24833840244171,0.0,18.24833840244171,0.3155934137898991,1.0025,0.03414936256581678,0.48735,0.0,1.2786890824432127,0.0,0.0,0.40354585270412724
76,GB032.glu.1,3.488086168971405,0.0,0.0,0.0,31.35657448611717,GB032,glu,1,8.596041418652273,0.0,0.0,12.665475282452245,12.665475282452245,0.2754011271731805,0.6838,0.03358070377671807,0.31525200000000003,0.0,0.0,1.349128867228038,0.0,0.3715516107364778
77,GB032.glu.2,3.6651533080074663,0.0,0.0,0.0,31.08542289886552,GB032,glu,2,8.66061467702852,0.0,0.0,12.936626869703897,12.936626869703897,0.2833159945728076,0.8079,0.04421731433857294,0.382266,0.0,0.0,1.4964001422531066,0.0,0.4239540945813297
79,GB032.fg.1,2.2834911956770005,0.0,0.0,11.293474393681596,17.071250141216872,GB032,fg,1,5.628093783769916,0.0,5.29068787295321,3.001478972439873,8.292166845393083,0.27537931137331734,0.7233,0.06088165808821981,0.33658200000000005,0.0,0.9569907188519535,0.542913811668674,0.0,0.4130426767404893
80,GB032.fg.2,2.086047063622364,0.0,0.0,11.807614835498903,17.817945040685878,GB032,fg,2,4.597609929880679,0.0,4.776547431135903,2.2547840729708675,7.03133150410677,0.29667881003818014,0.7254,0.060970862795714176,0.33771600000000007,0.0,0.8623524442460768,0.4070761537714183,0.0,0.3766125658882658
81,GB032.fg.3,2.1937232331189422,0.0,0.0,14.127250869431405,21.104734225115166,GB032,fg,3,-0.1024323747686986,0.0,2.4569113972034007,-1.032005111458421,2.4569113972034007,0.892878447149525,0.7364,0.06143394656525635,0.3436560000000001,0.0,0.43921178006891487,0.0,0.0,0.3921627321577114
